City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Goderich,CA,2022-05-16 00:09:09,43.7501,-81.7165,52.92,99,99,16.35
174,Chicama,PE,2022-05-16 00:09:10,-7.8447,-79.1469,61.34,75,87,4.56
175,Severo-Kurilsk,RU,2022-05-16 00:09:10,50.6789,156.125,36.68,98,100,15.1
176,Semirom,IR,2022-05-16 00:09:11,31.4167,51.5667,54.43,23,0,0.18
177,Havre-Saint-Pierre,CA,2022-05-16 00:09:11,50.2334,-63.5986,37.99,82,59,12.53
178,Boaco,NI,2022-05-16 00:09:12,12.4722,-85.6586,85.21,54,81,6.44
179,Ixtapa,MX,2022-05-16 00:08:30,20.7,-105.2,81.23,65,0,11.5
180,Kaeo,NZ,2022-05-16 00:09:13,-35.1,173.7833,72.32,76,71,10.69
181,Champerico,GT,2022-05-16 00:09:13,14.3,-91.9167,88.34,70,83,9.86
182,Hami,CN,2022-05-16 00:09:14,42.8,93.45,66.07,7,82,9.95
183,Trairi,BR,2022-05-16 00:05:42,-3.2778,-39.2689,77.27,90,92,7.78
184,Talnakh,RU,2022-05-16 00:09:14,69.4865,88.3972,37.4,91,100,10.54
185,Mahebourg,MU,2022-05-16 00:08:34,-20.4081,57.7,72.25,84,49,10.87
186,Daru,PG,2022-05-16 00:09:15,-9.0763,143.2092,81.28,67,29,3.85
187,Praia,CV,2022-05-16 00:09:16,14.9215,-23.5087,72.63,81,98,15.28
188,Gazli,UZ,2022-05-16 00:10:16,40.1333,63.45,70.56,40,61,5.64
189,Shache,CN,2022-05-16 00:10:17,38.4167,77.2406,64.71,45,100,7.16
190,Saldanha,ZA,2022-05-16 00:10:20,-33.0117,17.9442,61.27,51,0,8.25
191,Patiya,BD,2022-05-16 00:10:21,22.2931,91.9762,78.75,92,100,6.02
192,Sobolevo,RU,2022-05-16 00:10:22,54.4299,31.8996,39.58,85,16,9.78
193,Skjervoy,NO,2022-05-16 00:10:22,70.0311,20.9714,37.4,99,100,16.89
194,Tanggu,CN,2022-05-16 00:10:23,39.0211,117.6469,69.76,27,15,7.87
195,Port Lincoln,AU,2022-05-16 00:10:23,-34.7333,135.8667,60.71,58,77,17.07
196,Providencia,MX,2022-05-16 00:10:24,28.7167,-111.5833,100.2,25,83,9.84
197,Marsa Matruh,EG,2022-05-16 00:10:25,31.3525,27.2453,64.22,88,0,5.61
198,Provideniya,RU,2022-05-16 00:10:25,64.3833,-173.3,42.91,70,75,13.0
199,Salinopolis,BR,2022-05-16 00:10:26,-0.6136,-47.3561,79.93,87,93,11.3
200,Hay River,CA,2022-05-16 00:10:26,60.8156,-115.7999,53.08,45,87,11.72
201,Yenotayevka,RU,2022-05-16 00:10:27,47.2456,47.0281,57.79,65,70,9.42
202,Avera,US,2022-05-16 00:10:27,33.194,-82.5271,80.11,61,91,4.05
203,Antofagasta,CL,2022-05-16 00:06:03,-23.65,-70.4,58.28,81,96,5.46
204,Brasilia De Minas,BR,2022-05-16 00:10:28,-16.2064,-44.4333,74.82,51,96,3.31
205,Kingsport,US,2022-05-16 00:08:14,36.5484,-82.5618,77.92,53,75,6.91
206,Sioux Lookout,CA,2022-05-16 00:10:29,50.1001,-91.917,43.27,81,100,9.93
207,Turbiv,UA,2022-05-16 00:10:29,49.3479,28.7212,45.79,88,43,6.93
208,Tura,IN,2022-05-16 00:10:30,25.5198,90.2201,73.74,97,92,5.53
209,Ambon,ID,2022-05-16 00:10:31,-3.6954,128.1814,82.81,77,37,7.47
210,Ust-Kuyga,RU,2022-05-16 00:10:31,70.0167,135.6,21.7,81,76,5.01
211,Severnyy,RU,2022-05-16 00:10:32,50.677,36.5532,46.44,87,0,8.95
212,Porbandar,IN,2022-05-16 00:10:32,21.6422,69.6093,82.67,78,0,16.2
213,Nongan,CN,2022-05-16 00:10:33,44.382,125.1685,60.69,44,74,4.88
214,Pokrovka,KG,2022-05-16 00:10:34,42.3414,78.0056,48.34,74,93,1.25
215,Praya,CV,2022-05-16 00:10:35,14.9215,-23.5087,72.99,79,94,14.7
216,Dikson,RU,2022-05-16 00:10:35,73.5069,80.5464,34.05,90,100,11.36
217,Kem,RU,2022-05-16 00:10:36,64.9555,34.5793,37.42,97,100,5.21
218,Viransehir,TR,2022-05-16 00:10:36,37.2353,39.7631,57.47,83,47,2.62
219,Ust-Maya,RU,2022-05-16 00:10:37,60.4167,134.5333,39.29,72,100,10.47
220,Castro,BR,2022-05-16 00:10:37,-24.7911,-50.0119,54.0,97,16,4.52
221,Pevek,RU,2022-05-16 00:10:38,69.7008,170.3133,26.58,80,99,3.94
222,George Town,MY,2022-05-16 00:08:26,5.4112,100.3354,80.53,94,40,2.3
223,Jaisalmer,IN,2022-05-16 00:10:40,26.9147,70.9181,79.12,63,0,23.04
224,Filingue,NE,2022-05-16 00:10:40,14.3521,3.3168,96.84,19,83,7.92
225,Vavozh,RU,2022-05-16 00:10:41,56.7751,51.931,45.55,84,76,1.14
226,Urengoy,RU,2022-05-16 00:10:42,65.9667,78.3667,49.15,81,100,6.22
227,Vestmannaeyjar,IS,2022-05-16 00:06:14,63.4427,-20.2734,48.7,92,98,20.96
228,Codrington,AU,2022-05-16 00:10:42,-38.2667,141.9667,53.22,70,93,15.55
229,Urumqi,CN,2022-05-16 00:10:43,43.801,87.6005,59.95,67,75,11.18
230,Carandai,BR,2022-05-16 00:10:44,-20.9536,-43.8064,56.89,92,96,4.63
231,Nome,US,2022-05-16 00:10:44,64.5011,-165.4064,42.87,75,0,10.36
232,Ewa Beach,US,2022-05-16 00:11:45,21.3156,-158.0072,80.55,64,75,12.66
233,Honiara,SB,2022-05-16 00:11:45,-9.4333,159.95,86.47,62,6,2.42
234,Bandarbeyla,SO,2022-05-16 00:11:46,9.4942,50.8122,81.72,83,26,20.62
235,Port Elizabeth,ZA,2022-05-16 00:11:06,-33.918,25.5701,55.31,98,0,1.99
236,Mount Gambier,AU,2022-05-16 00:11:47,-37.8333,140.7667,54.52,61,91,12.06
237,Along,IN,2022-05-16 00:08:27,28.1667,94.7667,72.12,99,100,1.07
238,Seoul,KR,2022-05-16 00:08:53,37.5683,126.9778,58.44,41,0,6.6
239,Luanda,AO,2022-05-16 00:08:52,-8.8368,13.2343,74.93,89,8,7.78
240,Axim,GH,2022-05-16 00:11:48,4.8699,-2.2405,78.87,88,29,4.99
241,Bushenyi,UG,2022-05-16 00:11:49,-0.5853,30.2114,61.99,90,82,1.14
242,Cidreira,BR,2022-05-16 00:11:50,-30.1811,-50.2056,60.06,86,100,15.5
243,Lorengau,PG,2022-05-16 00:11:51,-2.0226,147.2712,83.77,64,100,3.33
244,Nemuro,JP,2022-05-16 00:11:51,43.3236,145.575,47.77,73,0,15.3
245,Shingu,JP,2022-05-16 00:11:52,33.7333,135.9833,58.78,87,100,2.24
246,Kuito,AO,2022-05-16 00:11:52,-12.3833,16.9333,59.79,52,45,3.71
247,Kodiak,US,2022-05-16 00:11:53,57.79,-152.4072,49.51,62,0,12.66
