City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Chapais,CA,49.7834,-74.8492,35.38,87,100,6.78,overcast clouds
216,Shingu,JP,33.7333,135.9833,73.38,60,1,3.51,clear sky
217,Markova,UA,48.6758,24.4138,45.73,92,85,5.44,overcast clouds
218,Grindavik,IS,63.8424,-22.4338,51.75,81,0,13.8,clear sky
219,Riyadh,SA,24.6877,46.7219,86.14,9,0,6.4,clear sky
220,Cayenne,GF,4.9333,-52.3333,82.09,1,20,1.01,few clouds
221,San Vicente,AR,-26.6167,-54.1333,53.42,74,99,1.1,overcast clouds
222,Esperance,AU,-33.8667,121.9,61.2,82,14,12.19,few clouds
223,Beira,MZ,-19.8436,34.8389,71.69,100,75,6.91,broken clouds
224,Geraldton,AU,-28.7667,114.6,66.61,63,75,14.97,light intensity shower rain
225,Dunmore East,IE,52.1514,-6.9861,53.69,72,8,12.68,clear sky
226,Araouane,ML,18.9048,-3.5265,87.91,12,0,5.26,clear sky
227,Bilma,NE,18.6853,12.9164,85.73,11,72,5.03,broken clouds
228,Juneau,US,58.3019,-134.4197,66.2,65,75,10.36,broken clouds
229,Margate,GB,51.3813,1.3862,57.69,80,100,3.0,overcast clouds
230,Barra Patuca,HN,15.8,-84.2833,78.26,82,100,12.66,overcast clouds
231,Puerto Carreno,CO,6.189,-67.4859,82.38,78,20,2.3,few clouds
232,Isangel,VU,-19.55,169.2667,82.51,83,20,2.3,few clouds
233,Chickasha,US,35.0526,-97.9364,70.95,32,0,13.8,clear sky
234,Palmas Bellas,PA,9.2319,-80.0867,85.24,85,62,5.84,broken clouds
235,Bonfim,BR,3.0833,-59.95,72.32,95,100,3.56,overcast clouds
236,Oskarshamn,SE,57.2645,16.4484,45.14,79,38,3.78,scattered clouds
237,Ahome,MX,25.9167,-109.1833,82.35,26,1,13.65,clear sky
238,Sergeyevka,KZ,53.88,67.4158,45.23,74,63,14.2,broken clouds
239,Paamiut,GL,61.994,-49.6678,33.94,89,100,21.45,light snow
240,Bubaque,GW,11.2833,-15.8333,78.17,75,39,15.61,scattered clouds
241,Konce,MK,41.4958,22.385,56.12,78,3,3.85,light rain
242,Ginir,ET,7.1333,40.7,58.3,74,60,4.97,broken clouds
243,San Borja,BO,-14.8167,-66.85,67.48,94,81,2.51,broken clouds
244,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,95,92,2.53,light rain
245,Svetlyy,RU,54.675,20.1347,48.25,86,100,9.15,overcast clouds
246,Alofi,NU,-19.0595,-169.9187,82.29,78,8,6.91,clear sky
247,East London,ZA,-33.0153,27.9116,59.54,84,2,4.23,clear sky
248,Garoua,CM,9.3,13.4,84.11,57,73,8.48,broken clouds
249,Pokrovka,KG,42.3414,78.0056,45.97,95,100,3.71,overcast clouds
250,Pevek,RU,69.7008,170.3133,35.47,90,44,9.46,scattered clouds
251,Butembo,CD,0.15,29.2833,57.33,96,86,2.82,overcast clouds
252,Kavieng,PG,-2.5744,150.7967,84.85,63,15,18.66,few clouds
253,Monte Carmelo,BR,-18.7247,-47.4986,59.38,58,0,4.56,clear sky
254,Seoul,KR,37.5683,126.9778,64.0,82,75,5.75,mist
255,Severnyy,RU,50.677,36.5532,42.84,93,0,6.71,clear sky
256,Souillac,MU,-20.5167,57.5167,73.78,78,20,5.75,few clouds
257,Dubna,RU,56.7333,37.1667,31.68,83,47,5.03,scattered clouds
258,Phan Thiet,VN,10.9333,108.1,76.33,91,90,8.48,overcast clouds
259,Havelock,US,34.8791,-76.9013,80.56,85,95,7.0,overcast clouds
260,Sherbakul,RU,54.6316,72.3963,48.43,62,55,14.83,broken clouds
261,Borazjan,IR,29.2666,51.2159,87.46,14,0,4.29,clear sky
262,Ramnagar,IN,29.4,79.1167,72.28,52,2,5.59,clear sky
263,San Quintin,MX,30.4833,-115.95,65.7,58,0,12.77,clear sky
264,Sikasso,ML,10.9167,-7.0,80.47,65,98,4.81,light rain
265,Iranshahr,IR,27.2025,60.6848,83.1,16,0,5.21,clear sky
266,Makakilo City,US,21.3469,-158.0858,82.72,56,100,16.11,overcast clouds
267,Tamandare,BR,-8.7597,-35.1047,77.05,83,39,12.55,scattered clouds
268,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.34,81,39,13.2,scattered clouds
269,Mutsu,JP,41.2894,141.2169,59.58,74,100,5.53,overcast clouds
270,Soc Trang,VN,9.6033,105.98,77.5,88,98,5.68,overcast clouds
271,Camana,PE,-16.6228,-72.7111,64.76,85,81,8.1,broken clouds
272,Tianpeng,CN,30.9866,103.9393,63.07,85,38,1.83,scattered clouds
273,Bundaberg,AU,-24.85,152.35,66.22,90,100,1.99,overcast clouds
274,Yurino,RU,56.2942,46.3039,28.38,94,63,4.03,broken clouds
275,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,21.85,light snow
276,Skeldon,GY,5.8833,-57.1333,73.72,95,100,2.51,overcast clouds
277,Los Caminos,HN,14.95,-87.9667,77.76,65,71,5.06,broken clouds
278,Tazovskiy,RU,67.4667,78.7,36.32,92,100,15.64,overcast clouds
279,Derzhavinsk,KZ,51.1,66.3167,49.95,45,99,17.98,overcast clouds
280,Sabha,LY,27.0377,14.4283,75.83,11,35,10.98,scattered clouds
281,Murgab,TM,37.4966,61.9714,58.87,72,0,4.61,clear sky
282,Nome,US,64.5011,-165.4064,69.87,19,0,12.66,clear sky
283,Prenzlau,DE,53.3167,13.8667,45.72,90,25,4.59,scattered clouds
284,Springbok,ZA,-29.6643,17.8865,52.75,54,31,4.83,scattered clouds
285,Henties Bay,NA,-22.116,14.2845,60.48,65,2,2.39,clear sky
286,Kavaratti,IN,10.5669,72.642,82.67,81,97,18.32,overcast clouds
287,Dali,CN,25.7,100.1833,60.1,92,63,2.04,broken clouds
288,Bjornevatn,NO,69.6672,29.9847,37.74,93,75,4.61,broken clouds
289,Plouzane,FR,48.3833,-4.6167,52.12,97,100,8.05,overcast clouds
290,Leh,IN,34.1667,77.5833,43.09,55,99,7.14,overcast clouds
291,Noyabrsk,RU,63.1994,75.4507,55.35,75,61,20.98,broken clouds
292,Saint Andrews,US,34.0454,-81.1293,88.14,53,40,10.36,scattered clouds
293,Yukamenskoye,RU,57.8865,52.2416,29.66,97,82,6.06,broken clouds
294,Rawson,AR,-43.3002,-65.1023,49.46,43,100,10.56,overcast clouds
295,Tuzha,RU,57.6062,47.936,30.97,98,75,6.35,broken clouds
296,Roanoke Rapids,US,36.4615,-77.6542,87.75,62,40,11.5,scattered clouds
297,Nikolayevka,RU,53.1257,47.2041,41.14,90,100,7.4,overcast clouds
298,Vallenar,CL,-28.5708,-70.7581,65.03,43,21,0.09,few clouds
299,Wenling,CN,28.3669,121.36,63.09,96,100,6.98,overcast clouds
300,Okha,RU,53.5739,142.9478,34.14,85,100,5.82,overcast clouds
301,Frederick,US,39.4668,-77.3997,82.18,84,0,4.61,clear sky
